Gene_ID,Genes,AMP_log2FC,TET_log2FC,KAN_log2FC,CHL_log2FC,CPR_log2FC,DOX_log2FC,ERY_log2FC,FOX_log2FC,TRM_log2FC,NAL_log2FC,NIT_log2FC,TOB_log2FC,AMP_pvalue,TET_pvalue,KAN_pvalue,CHL_pvalue,CPR_pvalue,DOX_pvalue,ERY_pvalue,FOX_pvalue,TRM_pvalue,NAL_pvalue,NIT_pvalue,TOB_pvalue,AMP_qvalue,TET_qvalue,KAN_qvalue,CHL_qvalue,CPR_qvalue,DOX_qvalue,ERY_qvalue,FOX_qvalue,TRM_qvalue,NAL_qvalue,NIT_qvalue,TOB_qvalue
b4037,malM,-4.044,-1.576471543,1.615,3.162,-0.031,2.29,1.625,-0.443,-2.24,5.969,-0.829,-2.985,2.03E-06,0.306612435,3.58E-05,7.66E-10,0.922757311,2.27E-07,3.31E-05,0.174595611,3.24E-07,1.70E-15,0.015255511,2.24E-09,2.17E-05,0.706384396,0.000784613,5.08E-08,0.934938926,1.39E-05,0.000362808,0.422053958,1.99E-05,5.22E-13,0.072425533,1.40E-07
b2478,dapA,-0.53000313,-0.403228524,-0.474,-0.391,-0.949,0.119,-0.31,-0.268,0.394,-0.238,0.093,0.428,0.330695373,0.508359131,0.147495805,0.228769209,0.006375324,0.710134717,0.337134919,0.405454902,0.225329964,0.459311358,0.771325478,0.189063452,0.791746787,0.792356962,0.299875577,0.459033641,0.02330029,0.928349887,0.517263672,0.641621933,0.516241037,0.720866103,0.890213992,0.41381982
b0756,galM,-0.909565152,-0.665748502,0.121,-0.476,-0.562,0.027,0.309,0.426,-0.438,0.334,-0.064,-0.872,0.338570975,0.527190463,0.7055032,0.145871904,0.088763806,0.932696998,0.338664489,0.191061811,0.179317198,0.301845022,0.841394705,0.011210247,0.900043565,0.812656566,0.813857595,0.383645735,0.167180911,0.977262724,0.517263672,0.428145809,0.480617364,0.57201495,0.942730564,0.066183572
b4383,deoB,0.574401652,-0.847889603,-0.117,-0.203,-0.728,0.141,0.556,-0.328,-0.697,0.568,-0.404,0.789,0.218699687,0.491299508,0.714777681,0.5272575,0.030719267,0.659852238,0.092010798,0.310412487,0.037794476,0.085615728,0.214150043,0.020214108,0.486649989,0.798915147,0.815373129,0.725392268,0.076673293,0.908406445,0.19347476,0.568419236,0.270051933,0.282623962,0.438293755,0.1060712
b3030,parE,-0.506966095,-1.112908362,0.337,-0.22,0.554,-0.392,-0.197,-0.292,0.547,-0.374,0.288,-0.455,0.298204222,0.406618134,0.297624769,0.493586358,0.0931155,0.227618392,0.539433713,0.365392921,0.097071707,0.249013495,0.371881075,0.16366745,0.685231028,0.756563307,0.466177571,0.698299594,0.170157492,0.57677084,0.68150679,0.599869662,0.413902973,0.533507859,0.630049939,0.395637064
b3304,rplR,0.183917348,0.923474832,0.651,0.544,0.363,-0.516,-0.246,-0.161,-0.013,-0.046,-1.45,0.625,0.760863288,0.249672045,0.051029324,0.098810595,0.262806994,0.116353445,0.444545156,0.615513306,0.967563299,0.885611235,0.000130851,0.060218994,0.973118469,0.633695876,0.142418203,0.286177855,0.355426199,0.446506344,0.595962283,0.783145805,0.980336412,0.957333272,0.001673801,0.217496839
b2890,lysS,-0.442925352,0.091824438,0.171,0.009,0.046,0.204,-0.29,-0.25,0.021,0.015,-0.674,0.288,0.289095858,0.77796712,0.593879128,0.977540386,0.885611235,0.525242754,0.368627527,0.437271549,0.94762702,0.962576681,0.043965785,0.371881075,0.587863277,0.909984931,0.740809383,0.977540386,0.906275497,0.845966739,0.546708459,0.661292442,0.977385406,0.993724829,0.156947628,0.610521337
b2674,nrdI,-3.510065697,-1.741455313,-1.015,-1.263,-0.552,0.494,-5.661,-2.914,0.363,-3.08,-0.578,0.098,0.015516323,0.000153762,0.003887377,0.000571047,0.094231529,0.131904756,5.34E-15,3.49E-09,0.262806994,1.25E-09,0.08058263,0.759425061,0.21247952,0.008957398,0.029107921,0.007968704,0.170171055,0.465457011,1.09E-12,2.68E-07,0.561861371,6.42E-08,0.237873725,0.866704438
b3863,polA,-0.13976731,-0.197884769,0.112,0.317,0.069,0.37,-0.285,-1.169,0.695,0.001,-0.02,0.051,0.767942214,0.529348546,0.726434095,0.326560656,0.829199874,0.253965615,0.376796884,0.00119092,0.038298183,0.99750414,0.950117417,0.873284185,0.946440628,0.798731363,0.822934565,0.555903086,0.862930038,0.609120654,0.553476763,0.017410122,0.270051933,0.99750414,0.983212804,0.934140226
b0386,proC,1.814787899,-0.1373331,-0.408,-0.807,1.13,0.227,0.607,1.293,-0.118,0.251,0.219,-7.46,0.108652349,0.856382163,0.209799327,0.017821067,0.001611763,0.480086148,0.067410317,0.000451101,0.712454778,0.43546462,0.495532514,1.29E-17,0.631400107,0.971197654,0.363889229,0.094328751,0.00811166,0.845966739,0.161679431,0.008655505,0.86051346,0.692682064,0.731386932,3.95E-15
