Gene ID,Genes,WT1,WT2,AMP1,AMP2,TET1,TET2
gene:b3863,polA,82.641,31.446,161.449,11.408,138.014,134.298
gene:b0386,proC,10.307,10.072,28.622,39.999,20.81,27.35
gene:b3303,rpsE,4634.66,1716.55,13198.7,741.461,13072.5,24493.2
gene:b2514,hisS,74.884,28.117,103.18,18.419,101.045,133.467
gene:b3983,rplK,1414.93,317.005,2248.14,322.23,2016.35,4979.37
gene:b2499,purM,164.698,2.047,12.882,11.669,13.124,144.313
gene:b3341,rpsG,4703.19,445.14,4709.47,408.287,3590.52,10964.2
gene:b3296,rpsD,7690.38,2870.28,15206.4,1658.95,16939.8,27835.8
gene:b3945,gldA,33.831,12.448,86.121,15.947,60.922,14.719
gene:b3648,gmk,710.292,413.007,1071.4,77.999,1499.56,1540.9
gene:b3637,rpmB,2170.66,125.875,2485.83,179.194,3157.78,8449.57
gene:b1093,fabG,498.968,108.958,663.093,71.635,548.953,599.936
gene:b2802,fucI,1.238,5.553,2.034,8.234,1.687,1.695
gene:b2518,ndk,12.292,4.916,13.781,14.605,6.998,18.729
gene:b1681,sufD,32.131,100.908,17.111,26.308,51.64,7.411
gene:b0194,proS,72.403,7.376,142.413,8.952,57.825,200.193
gene:b4238,nrdD,57.893,23.094,75.705,5.329,103.461,63.234
gene:b2551,glyA,2424.59,111.886,1537.67,120.044,341.161,1976.36
gene:b0121,speE,611.473,103.16,1068.2,62.433,330.403,970.794
gene:b4168,tsaE,11.539,23.121,27.48,18.678,15.246,17.049
gene:b4375,prfC,48.327,6.724,147.846,8.956,52,160.374
gene:b2559,tadA,10.089,13.403,11.509,9.44,6.187,18.504
gene:b3987,rpoB,1576.81,476.188,3803.13,224.117,2076.87,3373.82
gene:b3342,rpsL,20849.7,1998.02,19229.5,1668.83,14272.3,43532.1
gene:b0103,coaE,205.35,86.497,281.587,39.046,161.015,140.091
gene:b4361,dnaC,28.386,27.117,95.75,13.915,90.852,81.175
gene:b1861,ruvA,14.372,17.909,14.749,7.555,20.463,25.465
gene:b1281,pyrF,24.636,7.02,20.348,8.733,22.787,125.1
gene:b2926,pgk,2850.45,326.893,1281.32,107.085,1493.16,710.975
gene:b3170,rimP,989.373,399.861,1487.25,96.217,1766.21,2374.4
gene:b3671,ilvB,164.933,35.853,475.169,30.224,32.155,182.189
gene:b1114,mfd,41.209,51.78,38.947,16.076,47.921,51.265
gene:b1812,pabB,15.474,7.039,8.377,7.649,13.025,34.451
gene:b2942,metK,769.223,218.307,811.79,206.627,145.915,3501.59
gene:b0090,murG,12.834,13.219,108.566,15.833,30.49,27.97
gene:b3723,bglG,1.044,0.377,1.912,1.869,0.907,1.881
gene:b0184,dnaE,12.907,7.152,55.31,6.232,23.479,42.018
gene:b2797,sdaB,5.753,1.381,7.363,6.373,3.785,20.186
gene:b1662,ribC,269.792,93.006,257.793,23.934,205.618,110.716
gene:b3294,rplQ,136.209,64.374,157.807,59.144,280.116,504.259
gene:b4348,hsdS,142.983,53.186,316.629,20.229,90.362,68.958
gene:b0185,accA,98.024,13.361,195.511,9.197,75.793,169.76
gene:b1095,fabF,86.802,26.953,81.401,6.766,208.048,342.232
gene:b3186,rplU,1271.73,34.248,936.692,105.771,1773.97,2492.09
gene:b4042,dgkA,12.337,47.261,10.142,7.436,7.431,12.36
gene:b3309,rplX,4882.77,1068.6,7990.7,595.822,6100.1,17617.5
gene:b3649,rpoZ,3101.67,1036.74,5461.28,305.397,4945.84,6508
gene:b4381,deoC,35.445,217.79,126.7,72.999,72.547,37.137
gene:b4196,ulaD,1.127,2.164,8.703,7.507,1.883,2.092
gene:b3298,rpsM,6475.96,1900.55,9918.01,1298.13,9457.39,24128.8
gene:b3500,gor,59.169,20.19,63.997,10.866,35.508,65.725
gene:b2838,lysA,61.743,3.16,85.437,10.342,8.694,31.494
gene:b3935,priA,4.071,2.451,7.82,7.189,7.941,14.32
gene:b4401,arcA,639.413,552.743,750.331,158.262,1011.64,1052.83
gene:b0027,lspA,52.104,16.247,267.977,9.034,117.039,141.96
gene:b3871,typA,479.973,56.933,733.691,44.623,243.635,765.591
gene:b4170,mutL,33.863,57.151,133.36,16.562,100.072,65.248
gene:b2945,endA,3.887,3.87,4.725,10.042,9.267,14.493
gene:b1098,tmk,75.002,32.977,93.718,23.952,119.943,205.697
gene:b0088,murD,34.51,44.808,288.69,36.503,74.587,50.471
gene:b3295,rpoA,1904.07,629.094,4356.24,404.767,4237.11,9437.69
gene:b2800,fucA,1.245,5.64,2.015,11.202,2.543,2.714
gene:b0014,dnaK,934.498,17647.1,4550.12,1935.27,1176.66,2753.29
gene:b3310,rplN,3904.38,838.928,5108.96,480.25,5138.94,8863.39
gene:b3297,rpsK,10478.9,3784.27,18989.8,1947.92,19708,45384.2
